r_date;1;2;3
2019-10-05;35578;17743;4108
2019-10-06;35832;11417;2489
2019-10-07;29750;14058;1692
2019-10-08;29023;14989;4221
2019-10-09;35459;16560;3388
2019-10-10;36680;16741;7219
2019-10-11;29032;12135;2928
2019-10-12;29069;14618;4780
2019-10-13;31359;12350;3942
2019-10-14;27454;11473;1961
2019-10-15;34526;14181;4303
2019-10-16;35297;15610;4648
2019-10-17;29602;14309;4225
2019-10-18;30975;14911;4341
2019-10-19;31761;15307;4403
2019-10-20;19167;9154;4251
2019-10-21;27763;12382;1868
2019-10-22;32739;15516;4021
2019-10-23;38076;14947;4921
2019-10-24;31683;16808;5892
2019-10-25;38404;17938;5772
2019-10-26;39050;14594;4346
2019-10-27;32892;12938;3276
2019-10-28;26010;11330;3159
2019-10-29;28360;13108;4304
2019-10-30;34959;16662;3109
2019-10-31;33193;18378;6983
2019-11-01;27422;16047;6175
2019-11-02;30965;16537;6690
2019-11-03;31234;11328;2330
2019-11-04;26894;9647;2408
2019-11-05;25764;10587;2030
2019-11-06;36068;17940;4989
2019-11-07;40009;19183;5773
2019-11-08;28228;15578;5294
2019-11-09;29162;14940;4511
2019-11-10;34730;13204;4316
2019-11-11;28691;13022;2821
2019-11-12;42139;18247;4463
2019-11-13;44341;17512;5408
2019-11-14;33513;16481;4800
2019-11-15;45540;18855;6374
2019-11-16;33982;16595;5662
2019-11-17;38241;12576;3537
2019-11-18;31742;12987;2377
2019-11-19;42302;15961;4888
2019-11-20;39768;17489;5230
2019-11-21;46037;19733;6230
2019-11-22;37311;17817;5506
2019-11-23;32017;14787;4698
2019-11-24;49836;17326;4974
2019-11-25;39451;15379;2376
2019-11-26;42226;18174;4723
2019-11-27;43152;19137;5679
2019-11-28;42042;20746;6114
2019-11-29;36387;18746;5861
2019-11-30;40405;17128;4335
2019-12-01;29883;15176;4989
2019-12-02;37156;17674;4923
2019-12-03;47760;21643;3948
2019-12-04;47683;18321;4706
2019-12-05;42410;19484;5224
2019-12-06;45699;22100;5887
2019-12-07;40188;21532;6232
2019-12-08;34564;20242;8877
2019-12-09;38038;18427;4593
2019-12-10;51134;20844;3624
2019-12-11;43682;21751;5086
2019-12-12;36859;16081;3555
2019-12-13;38193;17301;3919
2019-12-14;48926;20505;4145
2019-12-15;43398;19282;6995
2019-12-16;33002;17252;5510
2019-12-17;49412;21221;3846
2019-12-18;38152;19208;4853
2019-12-19;37069;20976;6698
2019-12-20;40834;21541;5470
2019-12-21;36517;18075;4020
2019-12-22;44189;18593;3630
2019-12-23;38664;20541;8782
2019-12-24;44131;21540;7035
2019-12-25;47554;23790;9028
2019-12-26;46179;23295;7693
2019-12-27;37843;23559;9017
2019-12-28;48982;28102;8070
2019-12-29;24795;15951;4131
2019-12-30;28810;12444;2832
2019-12-31;20178;11844;2331
2020-01-01;;1;
2020-01-02;3453;1057;84
2020-01-03;9503;12138;3328
2020-01-04;31760;12947;1895
2020-01-05;22474;10419;1623
2020-01-06;25952;13203;2012
2020-01-07;30477;11981;2632
2020-01-08;20445;11644;2958
2020-01-09;22720;13277;2631
2020-01-10;37913;17691;4007
2020-01-11;39025;15233;5900
2020-01-12;25490;12284;3970
2020-01-13;36298;14624;3528
2020-01-14;49789;18489;4964
2020-01-15;38218;21318;6233
2020-01-16;39586;18015;6538
2020-01-17;38384;16995;6777
2020-01-18;29369;16969;7506
2020-01-19;33600;12895;4200
2020-01-20;31289;11366;2991
2020-01-21;39727;17800;3990
2020-01-22;35491;15927;5634
2020-01-23;37611;19981;5844
2020-01-24;33748;17343;5466
2020-01-25;38376;19076;5406
2020-01-26;36959;13577;2832
2020-01-27;22331;12325;2437
2020-01-28;54285;18077;4690
2020-01-29;40700;18993;5172
2020-01-30;40944;17466;5828
2020-01-31;42086;19188;5076
2020-02-01;30279;16087;5993
2020-02-02;26088;9880;3541
2020-02-03;24830;11144;2161
2020-02-04;52795;17027;3186
2020-02-05;54455;20562;6035
2020-02-06;39920;18764;6005
2020-02-07;42419;18762;5153
2020-02-08;40196;17476;6114
2020-02-09;22743;9482;3387
2020-02-10;31759;13487;2533
2020-02-11;46081;16061;4144
2020-02-12;48532;21525;6180
2020-02-13;47660;19825;5608
2020-02-14;41300;17372;5345
2020-02-15;33147;14755;5335
2020-02-16;30937;11902;3819
2020-02-17;47527;15713;3293
2020-02-18;34959;15229;5051
2020-02-19;48972;18709;6264
2020-02-20;52148;20249;6465
2020-02-21;47882;18921;5363
2020-02-22;37035;15901;6916
2020-02-23;35147;11584;3941
2020-02-24;33388;10448;1970
2020-02-25;35638;13367;3542
2020-02-26;48766;19445;5151
2020-02-27;52827;18963;5465
2020-02-28;44068;18154;7517
2020-02-29;33794;15924;5754
2020-03-01;31412;12061;4941
2020-03-02;36772;14859;3031
2020-03-03;44239;16567;4530
2020-03-04;41541;21822;6387
2020-03-05;45215;20149;5737
2020-03-06;36547;17189;6141
2020-03-07;33400;16376;6441
2020-03-08;15596;8842;5122
2020-03-09;36069;10810;2088
2020-03-10;42194;12538;2907
2020-03-11;45402;20595;5158
2020-03-12;39025;15798;5684
2020-03-13;39142;17249;6346
2020-03-14;42801;16460;6307
2020-03-15;31767;11193;3963
2020-03-16;37017;13367;3518
2020-03-17;52583;19609;5616
2020-03-18;39197;18646;7603
2020-03-19;37877;16227;6425
2020-03-20;42528;18306;6602
2020-03-21;44893;15684;5006
2020-03-22;27924;9994;4562
2020-03-23;33620;11189;2312
2020-03-24;42678;17846;6197
2020-03-25;50330;18857;6272
2020-03-26;40550;16859;6055
2020-03-27;44741;15391;6909
2020-03-28;40522;13938;5651
2020-03-29;32269;10769;5417
2020-03-30;25409;10414;4289
2020-03-31;36230;13776;5436
2020-04-01;36344;13086;5505
2020-04-02;32314;12606;4722
2020-04-03;25857;10291;2800
2020-04-04;20518;9901;4190
2020-04-05;30900;8347;2585
2020-04-06;19021;7882;1929
2020-04-07;25739;10183;3416
2020-04-08;30821;11454;3990
2020-04-09;32544;10780;3006
2020-04-10;32521;10458;3822
2020-04-11;26091;12964;6529
2020-04-12;34222;10007;3986
2020-04-13;27092;8721;1968
2020-04-14;31914;10143;1994
2020-04-15;40883;11484;4478
2020-04-16;47512;17361;8391
2020-04-17;32502;15989;7729
2020-04-18;35547;12738;6130
2020-04-19;16701;8224;4944
2020-04-20;27348;8693;2359
2020-04-21;35528;14853;5914
2020-04-22;49217;13174;5189
2020-04-23;41234;12488;6377
2020-04-24;36920;11667;5121
2020-04-25;38287;14489;7572
2020-04-26;21192;9157;6325
2020-04-27;26797;10757;3907
2020-04-28;41502;14159;5857
2020-04-29;48165;14389;6196
2020-04-30;37508;13311;6963
2020-05-01;32596;9899;7294
2020-05-02;20205;8513;5796
2020-05-03;37383;7221;2492
2020-05-04;29806;8245;2435
2020-05-05;25861;9453;5231
2020-05-06;34512;11288;4877
2020-05-07;34846;13575;6390
2020-05-08;35242;11735;6561
2020-05-09;33541;10350;7773
2020-05-10;19600;7789;4916
2020-05-11;29561;9879;4122
2020-05-12;35571;10487;4750
2020-05-13;40489;14302;6591
2020-05-14;42113;16142;7994
2020-05-15;39880;14450;7585
2020-05-16;29678;12394;7169
2020-05-17;28945;9719;5058
2020-05-18;34322;11428;4622
2020-05-19;38878;13787;5655
2020-05-20;37956;15348;9009
2020-05-21;37946;14194;8003
2020-05-22;39241;13699;7427
2020-05-23;33728;12396;7767
2020-05-24;26269;9770;5796
2020-05-25;30366;11557;4409
2020-05-26;47411;14708;6654
2020-05-27;48236;14973;7543
2020-05-28;41046;14775;8152
2020-05-29;36221;13872;8019
2020-05-30;38981;14165;7127
2020-05-31;22906;7382;5852
2020-06-01;31696;11902;4238
2020-06-02;43207;13763;5587
2020-06-03;46867;15357;7646
2020-06-04;37398;14643;8072
2020-06-05;41249;15162;7745
2020-06-06;38039;13160;7091
2020-06-07;31216;10384;5511
2020-06-08;35458;11830;4695
2020-06-09;45925;13517;4951
2020-06-10;41374;15654;7801
2020-06-11;42162;14477;6868
2020-06-12;33641;11281;5539
2020-06-13;29062;9433;5004
2020-06-14;28175;7302;2919
2020-06-15;34910;12824;4136
2020-06-16;48244;13726;5150
2020-06-17;44370;16177;6805
2020-06-18;44174;16729;8375
2020-06-19;41593;15009;6220
2020-06-20;37823;12289;6008
2020-06-21;31099;9594;4507
2020-06-22;33593;11203;3285
2020-06-23;50486;17424;5579
2020-06-24;50512;13940;6181
2020-06-25;40999;13776;6184
2020-06-26;41453;14749;5797
2020-06-27;28037;12365;5656
2020-06-28;21998;7725;4492
2020-06-29;25791;11383;3766
2020-06-30;37461;14821;5286
2020-07-01;36878;14143;6663
2020-07-02;29924;13759;5886
2020-07-03;46527;15210;5494
2020-07-04;35576;15129;6783
2020-07-05;33007;9909;4764
2020-07-06;29293;11125;2989
2020-07-07;37605;15920;5565
2020-07-08;43572;15156;6159
2020-07-09;33998;13973;5644
2020-07-10;40907;16403;6469
2020-07-11;31102;13835;6332
2020-07-12;30875;10590;4367
2020-07-13;28482;12233;3100
2020-07-14;40335;13919;4472
2020-07-15;39321;15210;5699
2020-07-16;33254;14884;6529
2020-07-17;36747;15354;6532
2020-07-18;26498;12491;5817
2020-07-19;25204;9882;5438
2020-07-20;25242;12249;3018
2020-07-21;34840;13328;4522
2020-07-22;35904;15044;5897
2020-07-23;34029;14980;6764
2020-07-24;34209;13670;5406
2020-07-25;29127;12221;5651
2020-07-26;21498;9648;4794
2020-07-27;28305;11085;2369
2020-07-28;32431;13668;4564
2020-07-29;37366;13539;5268
2020-07-30;30050;13348;6334
2020-07-31;32649;12653;5221
2020-08-01;23177;11643;5890
2020-08-02;21533;8301;4317
2020-08-03;23604;10967;2816
2020-08-04;29017;11874;4624
2020-08-05;33370;13310;5909
2020-08-06;30521;11954;5739
2020-08-07;32551;13428;5821
2020-08-08;21071;9465;5269
2020-08-09;19850;6394;2921
2020-08-10;23658;11445;3962
2020-08-11;28029;11470;4208
2020-08-12;29308;13608;5368
2020-08-13;24363;11182;5154
2020-08-14;39711;13738;6436
2020-08-15;25175;11311;7434
2020-08-16;25148;7680;3590
2020-08-17;26600;10740;4449
2020-08-18;29663;12599;6714
2020-08-19;34168;12981;6573
2020-08-20;32114;12225;6833
2020-08-21;37242;13319;7004
2020-08-22;23087;10283;4898
2020-08-23;23682;8697;5078
2020-08-24;24402;10213;3612
2020-08-25;31340;13196;5358
2020-08-26;30716;12834;7280
2020-08-27;35704;14818;7243
2020-08-28;37059;12975;5422
2020-08-29;28163;11133;6107
2020-08-30;21884;9474;4874
2020-08-31;26447;10618;4140
2020-09-01;31795;14224;6055
2020-09-02;29160;13306;6722
2020-09-03;30468;11993;5798
2020-09-04;32026;12878;5976
2020-09-05;23501;11839;6504
2020-09-06;15326;8125;5378
2020-09-07;32270;11188;4304
2020-09-08;29982;13766;6173
2020-09-09;30551;14304;7273
2020-09-10;36134;15659;8303
2020-09-11;35576;14330;7634
2020-09-12;29758;12465;7360
2020-09-13;17412;7821;5587
2020-09-14;37305;13913;4071
2020-09-15;33880;13880;6376
2020-09-16;33495;13611;6798
2020-09-17;34501;15906;8060
2020-09-18;40347;13994;7188
2020-09-19;28827;12623;8272
2020-09-20;21008;9910;5645
2020-09-21;32572;12072;3525
2020-09-22;33192;14279;5777
2020-09-23;31763;14399;7138
2020-09-24;35297;13278;8205
2020-09-25;40504;14933;8527
2020-09-26;36684;13135;6891
2020-09-27;19472;8928;5709
2020-09-28;31350;10769;4427
2020-09-29;42184;15030;5302
2020-09-30;31818;14737;7791
2020-10-01;36770;15135;7751
2020-10-02;37668;14229;6451
2020-10-03;27084;11913;7669
2020-10-04;30730;9090;5645
2020-10-05;29158;11838;4161
2020-10-06;29225;12251;5725
2020-10-07;40779;15219;7505
2020-10-08;33640;15083;8410
2020-10-09;34454;13214;7413
2020-10-10;32151;11638;7479
2020-10-11;29318;10394;4589
2020-10-12;31988;11140;4491
2020-10-13;33183;13653;7000
2020-10-14;34956;13111;7571
2020-10-15;41262;15014;7832
2020-10-16;33163;12726;7537
2020-10-17;25258;12619;8179
2020-10-18;33449;10186;6254
2020-10-19;36920;11818;4017
2020-10-20;41559;14202;6048
2020-10-21;32638;13377;6889
2020-10-22;37893;14834;8264
2020-10-23;38630;15446;7721
2020-10-24;32022;15661;8243
2020-10-25;22107;8626;6842
2020-10-26;29061;11678;4826
2020-10-27;46370;16027;6929
2020-10-28;37214;15333;8337
2020-10-29;37712;14985;9279
2020-10-30;40632;13785;7911
2020-10-31;34310;11197;7112
2020-11-01;21162;8843;6202
2020-11-02;33231;13111;4201
2020-11-03;44483;14788;6944
2020-11-04;42417;13609;7518
2020-11-05;31141;13215;8873
2020-11-06;36151;14041;6695
2020-11-07;38547;13707;6906
2020-11-08;36528;11804;6501
2020-11-09;27126;12702;4120
2020-11-10;37607;14020;6143
2020-11-11;33515;13511;8184
2020-11-12;44632;15324;7469
2020-11-13;52038;17155;7530
2020-11-14;33175;10897;6328
2020-11-15;34772;10721;6834
2020-11-16;28976;11704;6686
2020-11-17;37256;14216;5861
2020-11-18;45855;15681;7977
2020-11-19;42699;15885;9780
2020-11-20;39749;14538;6404
2020-11-21;47922;16482;10306
2020-11-22;27650;8620;3948
2020-11-23;37355;13928;6323
2020-11-24;54835;18040;7689
2020-11-25;41579;16449;7990
2020-11-26;37281;15514;9360
2020-11-27;48513;18536;9420
2020-11-28;44578;14919;9452
2020-11-29;47851;15645;7763
2020-11-30;53458;15038;6161
2020-12-01;56055;20302;6382
2020-12-02;49481;20428;12129
2020-12-03;50922;19467;9647
2020-12-04;42293;19214;9484
2020-12-05;44500;15589;8876
2020-12-06;30764;11954;6938
2020-12-07;44584;16264;7337
2020-12-08;43008;18885;7129
2020-12-09;44673;18487;10163
2020-12-10;57526;20016;8956
2020-12-11;49540;23102;12585
2020-12-12;38580;17670;9778
2020-12-13;34928;12788;7711
2020-12-14;37844;15226;5462
2020-12-15;43862;19221;7637
2020-12-16;48222;20319;9440
2020-12-17;50278;21578;11372
2020-12-18;51119;19971;9920
2020-12-19;41349;19176;8998
2020-12-20;28939;13023;7412
2020-12-21;33677;16263;6687
2020-12-22;51463;21851;9454
2020-12-23;48724;21275;10000
2020-12-24;50841;24187;12949
2020-12-25;45491;18826;8559
2020-12-26;48310;20420;8628
2020-12-27;32661;16463;10226
2020-12-28;29606;14051;5345
2020-12-29;42269;21397;6304
2020-12-30;36767;19266;8012
2020-12-31;22539;12189;7640
2021-01-01;;1;
2021-01-02;11;26;4
2021-01-03;21373;7580;4391
2021-01-04;34096;9961;1861
2021-01-05;29072;10852;4014
2021-01-06;21365;7593;5621
2021-01-07;21627;9831;6781
2021-01-08;18640;8478;2506
2021-01-09;25612;8189;4565
2021-01-10;22425;7362;4262
2021-01-11;32642;10265;3186
2021-01-12;42257;15568;6321
2021-01-13;42023;14523;6547
2021-01-14;37581;15347;8809
2021-01-15;34295;13676;8457
2021-01-16;27874;14744;7105
2021-01-17;24244;11452;7137
2021-01-18;28146;12252;4066
2021-01-19;41295;19551;7153
2021-01-20;36327;17515;10662
2021-01-21;35928;16326;9520
2021-01-22;33716;15993;9906
2021-01-23;31005;18108;10177
2021-01-24;24997;11713;6586
2021-01-25;23186;10504;5125
2021-01-26;44017;17489;6583
2021-01-27;37795;16613;10648
2021-01-28;39589;16969;10612
2021-01-29;30996;16347;10606
2021-01-30;33605;14785;9059
2021-01-31;19289;8921;6671
2021-02-01;27430;11340;3877
2021-02-02;37142;15292;7405
2021-02-03;40252;17551;9632
2021-02-04;35863;15913;10014
2021-02-05;34642;17391;9908
2021-02-06;30150;14548;9391
2021-02-07;18169;9269;5952
2021-02-08;24330;13589;5033
2021-02-09;36766;16106;7425
2021-02-10;35989;16921;10865
2021-02-11;31909;15574;10850
2021-02-12;26324;12741;7575
2021-02-13;27153;13084;8257
2021-02-14;21939;10649;5539
2021-02-15;26031;12912;6590
2021-02-16;33952;15604;7308
2021-02-17;36250;14983;8785
2021-02-18;37903;18827;10846
2021-02-19;37239;16906;9934
2021-02-20;32268;15371;10413
2021-02-21;26777;12866;8536
2021-02-22;22643;12864;7616
2021-02-23;21768;10855;7849
2021-02-24;26690;10194;4015
2021-02-25;35202;15565;8046
2021-02-26;35951;15080;9009
2021-02-27;27721;15017;10373
2021-02-28;22920;10612;7752
2021-03-01;24252;11496;4966
2021-03-02;35706;16487;8391
2021-03-03;40622;19570;11087
2021-03-04;22723;13421;9838
2021-03-05;28458;15037;11389
2021-03-06;25136;15151;11980
2021-03-07;12717;8393;6155
2021-03-08;13098;7497;4068
2021-03-09;22032;6981;3704
2021-03-10;28473;10690;12718
2021-03-11;29413;12250;14708
2021-03-12;23747;10028;13688
2021-03-13;23875;10077;13911
2021-03-14;16521;7254;8595
2021-03-15;17554;8315;9048
2021-03-16;29075;9266;12117
2021-03-17;26652;7166;11531
2021-03-18;27893;9256;13332
2021-03-19;24553;9644;15848
2021-03-20;25756;9204;13390
2021-03-21;16415;6496;10174
2021-03-22;19529;6674;7068
2021-03-23;24962;8434;12438
2021-03-24;25381;9555;13518
2021-03-25;30905;10077;14580
2021-03-26;24692;8792;12977
2021-03-27;24486;8560;13976
2021-03-28;16053;6246;8455
2021-03-29;16286;5944;7262
2021-03-30;28521;8679;12227
2021-03-31;23251;8867;12408
2021-04-01;28627;9293;13028
2021-04-02;27487;8654;11558
2021-04-03;20042;8943;12781
2021-04-04;12598;5782;9749
2021-04-05;18332;6400;5686
2021-04-06;30491;9305;12100
2021-04-07;26109;8384;12967
2021-04-08;29802;10427;13152
2021-04-09;22980;8024;14030
2021-04-10;23209;9769;13271
2021-04-11;13004;5602;9795
2021-04-12;22137;6641;4920
2021-04-13;28349;8627;11653
2021-04-14;24201;7670;12715
2021-04-15;28016;10063;14105
2021-04-16;23518;8235;13543
